current_bpm,avg_bpm,min_bpm,max_bpm,std_bpm,change_bpm,label
69.14,73.77,65.31,70.33,4.57,2.81,NORMAL
87.54,85.33,85.37,97.86,5.5,7.53,NORMAL
94.52,93.77,88.95,102.21,5.72,0.31,NORMAL
72.61,71.81,67.38,79.27,1,-3.84,NORMAL
71.34,67.04,69.88,79.32,4.63,-8.11,NORMAL
71.02,77.06,67.74,78.83,4.67,-1.48,NORMAL
73.3,75.59,70.11,76.0,4.29,1.02,NORMAL
78.37,76.4,72.07,84.8,4.11,1.14,NORMAL
82.49,76.44,77.06,90.12,5.15,-7.25,NORMAL
77.43,77.35,68.39,88.51,1.58,7.48,NORMAL
66.68,71.1,59.84,71.98,4.82,-2.01,NORMAL
70.74,71.49,63.53,78.74,1,-2.37,NORMAL
76.05,72.76,67.91,83.02,3.33,1.79,NORMAL
76.4,75.24,66.54,85.94,3.94,-3.31,NORMAL
78.4,81.12,70.71,81.63,4.6,-3.61,NORMAL
85.75,83.61,80.05,94.32,3.47,1.2,NORMAL
78.31,75.94,73.19,85.48,1.22,3.52,NORMAL
56.95,58.7,47.43,73.59,9.0,-12.25,UNUSUAL_PATTERN
77.73,79.28,71.29,88.01,3.2,0.53,NORMAL
111.68,91.23,81.55,130.62,12.7,2.41,UNUSUAL_PATTERN
92.5,85.69,85.45,105,2.5,-0.19,NORMAL
123.12,85.04,41.37,117.0,16.07,32.21,UNUSUAL_PATTERN
113.1,105.32,73.69,120.39,5.08,16.21,UNUSUAL_PATTERN
76.78,81.13,75.52,83.93,2.6,2.96,NORMAL
83.92,84.37,75.98,87.52,3.0,-3.07,NORMAL
82.27,81.48,72.56,91.04,3.97,2.39,NORMAL
78.04,85.68,73.01,83.25,4.06,3.33,NORMAL
86.26,82.17,80.79,99.63,5.86,-0.86,NORMAL
83.06,83.89,77.13,90.15,2.75,3.07,NORMAL
85.6,80.52,77.64,92.66,5.28,2.16,NORMAL
84.44,83.9,78.09,94.74,1.54,-1.22,NORMAL
65.91,74.95,61.62,74.33,4.85,-0.22,NORMAL
75.64,76.7,66.95,78.11,2.3,-4.67,NORMAL
105.72,103.88,66.35,118.71,16.55,14.92,UNUSUAL_PATTERN
43.58,74.97,48.0,108.4,9.31,-14.09,UNUSUAL_PATTERN
88.87,83.37,82.51,95.94,5.17,-1.47,NORMAL
116.67,80.82,46.98,116.57,16.37,28.96,UNUSUAL_PATTERN
64.53,76.78,60.99,71.63,1.74,0.8,NORMAL
66.22,70.55,58.97,73.88,3.94,6.59,NORMAL
76.7,76.99,68.86,84.43,2.92,-5.42,NORMAL
81.1,75.86,77.84,88.72,6.34,5.74,NORMAL
92.82,94.27,84.07,100.13,5.67,-9.5,NORMAL
80.51,77.44,72.89,86.93,3.28,-1.08,NORMAL
80.87,81.57,73.6,85.17,5.77,-4.07,NORMAL
81.35,84.47,75.14,88.39,2.36,0.23,NORMAL
85.27,82.07,81.2,96.65,6.5,0.07,NORMAL
110.3,98.29,89.46,121.36,11.98,16.2,UNUSUAL_PATTERN
78.6,79.91,68.86,83.71,4.74,-2.57,NORMAL
67.34,72.78,57.4,79.7,2.8,1.36,NORMAL
74.98,79.62,64.82,82.75,1.52,4.8,NORMAL
80.59,78.83,72.24,86.55,3.39,-1.44,NORMAL
53.16,79.08,44.36,86.87,9.6,-9.8,UNUSUAL_PATTERN
82.86,83.37,78.03,88.1,2.59,-1.41,NORMAL
83.13,80.52,74.7,88.5,4.61,8.55,NORMAL
52.33,59.21,42.07,85.72,8.53,-15.81,UNUSUAL_PATTERN
76.9,79.71,65.88,84.53,2.16,4.45,NORMAL
83.97,76.52,81.24,91.01,2.54,4.69,NORMAL
72.94,81.41,62.49,82.87,2.38,3.82,NORMAL
80.76,73.12,73.48,87.5,1.73,3.08,NORMAL
126.55,76.89,43.1,117.98,16.48,8.07,UNUSUAL_PATTERN
76.13,80.57,75.55,82.49,1.87,0.41,NORMAL
77.91,70.29,70.84,85.52,7.35,-2.08,NORMAL
73.21,73.28,63.65,79.82,3.31,4.41,NORMAL
79.21,81.65,72.06,85.92,3.87,-1.41,NORMAL
54.38,88.43,46.07,114.72,12.07,13.72,UNUSUAL_PATTERN
91.79,83.01,86.41,97.97,4.22,4.16,NORMAL
67.52,67.21,61.99,72.19,3.86,0.28,NORMAL
78.08,79.47,73.75,85.13,4.1,-2.61,NORMAL
86.02,76.62,77.31,95.23,1.54,-5.43,NORMAL
79.2,80.02,77.87,83.03,4.31,0.29,NORMAL
72.1,68.51,65.0,81.6,3.69,-3.38,NORMAL
82.99,81.7,75.67,93.38,2.34,-0.7,NORMAL
67.44,75.94,58.75,74.18,4.47,1.02,NORMAL
69.73,65.23,67.64,75.15,2.13,4.68,NORMAL
77.18,79.0,71.64,82.59,2.42,-1.12,NORMAL
72.28,77.37,67.56,77.89,2.92,-2.89,NORMAL
67.51,65.7,59.99,75.14,5.89,2.1,NORMAL
78.77,69.17,68.79,86.89,2.74,-8.44,NORMAL
70.37,76.33,62.3,71.68,6.57,2.99,NORMAL
71.4,76.32,64.67,74.04,6.36,-3.8,NORMAL
77.09,77.07,69.16,83.2,3.69,-2.14,NORMAL
79.18,83.01,72.47,82.89,2.51,-0.3,NORMAL
73.09,69.52,70.2,80.45,4.84,3.57,NORMAL
89.57,86.81,82.89,99.09,8.0,-0.78,NORMAL
86.93,83.22,79.51,92.78,1.49,-1.65,NORMAL
75.4,79.09,69.76,84.34,3.97,3.11,NORMAL
83.05,80.02,78.12,95.4,4.21,1.36,NORMAL
83.72,78.22,78.4,89.79,3.6,0.25,NORMAL
79.57,81.76,75.86,87.34,4.78,-2.04,NORMAL
62.42,67.4,56.08,70.34,3.06,-0.2,NORMAL
73.05,79.62,63.49,80.19,3.65,-3.59,NORMAL
78.01,76.87,71.32,85.01,3.63,-8.8,NORMAL
52.13,61.13,41.12,80.33,14.44,-12.62,UNUSUAL_PATTERN
71.92,67.54,66.66,77.68,1.87,-1.23,NORMAL
88.53,75.23,83.81,93.27,6.35,2.1,NORMAL
55.01,55.62,44.85,81.88,12.58,-4.85,UNUSUAL_PATTERN
93.42,93.07,91.53,102.56,1.42,4.6,NORMAL
79.3,78.63,76.69,85.16,4.55,-0.93,NORMAL
76.16,72.29,68.92,84.78,1,-1.21,NORMAL
65.85,65.37,58.23,72.51,6.51,6.84,NORMAL
56.54,62.76,41.17,80.07,9.93,-22.9,UNUSUAL_PATTERN
100.82,81.27,51.37,116.15,19.56,-17.57,UNUSUAL_PATTERN
85.41,82.98,78.09,91.57,1,4.97,NORMAL
88.64,80.3,81.51,98.14,5.37,-5.34,NORMAL
69.74,74.96,62.15,73.47,4.99,-4.06,NORMAL
76.64,80.47,72.61,84.03,6.54,0.83,NORMAL
68.27,70.39,62.08,77.11,5.15,3.62,NORMAL
88.31,82.12,81.41,98.85,5.21,0.83,NORMAL
65.36,69.75,59.42,73.65,3.75,8.31,NORMAL
60.93,59.75,56.43,70.82,3.8,8.58,NORMAL
76.29,73.81,75.9,85.42,4.56,0.09,NORMAL
54.48,62.47,40.14,81.59,18.74,-21.97,UNUSUAL_PATTERN
79.51,79.17,71.11,87.31,5.45,-2.11,NORMAL
68.02,73.72,58.92,74.63,6.55,7.54,NORMAL
41.57,69.56,40.66,84.09,10.05,-5.55,UNUSUAL_PATTERN
78.6,77.56,74.48,88.88,3.88,-4.35,NORMAL
90.46,87.16,80.76,101.88,4.83,-0.13,NORMAL
63.49,91.42,46.95,112.17,15.57,24.4,UNUSUAL_PATTERN
77.62,76.56,75.06,84.87,4.48,0.38,NORMAL
80.34,75.18,76.87,86.8,3.75,2.03,NORMAL
77.62,79.95,67.14,85.02,3.57,-4.22,NORMAL
89.62,84.37,84.18,101.15,4.5,-0.28,NORMAL
44.58,59.47,39.09,77.67,9.2,-13.84,UNUSUAL_PATTERN
79.85,79.47,73.27,88.2,4.6,-0.99,NORMAL
72.95,75.44,69.53,81.52,2.65,-4.51,NORMAL
68.18,71.68,58.95,76.54,6.41,-0.24,NORMAL
70.37,71.41,69.45,79.5,5.92,2.83,NORMAL
83.37,83.45,78.17,89.37,6.65,-5.75,NORMAL
44.42,64.87,38.97,79.87,11.87,-21.09,UNUSUAL_PATTERN
60,66.62,55,72.04,5.16,0.3,NORMAL
66.53,77.35,60.59,71.31,4.98,-2.44,NORMAL
82.78,86.26,78.08,86.31,5.67,-0.59,NORMAL
116.91,81.85,46.2,115.97,13.13,-19.97,UNUSUAL_PATTERN
75.53,73.38,69.28,81.46,3.38,6.15,NORMAL
80.63,76.46,71.89,88.54,4.15,7.55,NORMAL
85.49,81.99,73.59,88.88,3.53,4.89,NORMAL
67.42,69.94,60.16,74.61,4.38,8.36,NORMAL
79.57,73.17,71.4,84.66,2.74,4.77,NORMAL
86.06,87.18,77.88,92.9,5.39,1.14,NORMAL
83.58,77.06,79.86,88.3,2.98,-1.55,NORMAL
100.89,105.26,82.69,118.32,15.85,9.93,UNUSUAL_PATTERN
106.86,92.85,75.4,117.64,13.43,11.62,UNUSUAL_PATTERN
88.16,89.33,81.25,93.59,1.36,5.25,NORMAL
128.76,77.8,50.76,106.34,17.28,10.77,UNUSUAL_PATTERN
113.31,72.53,74.95,120.47,11.38,16.38,UNUSUAL_PATTERN
116.7,94.36,47.43,110.48,19.19,24.34,UNUSUAL_PATTERN
97.7,95.5,92.15,101.53,2.72,-0.83,NORMAL
67.9,76.87,62.58,71.88,4.59,-1.98,NORMAL
84.85,84.99,77.04,90.04,5.86,-1.57,NORMAL
70.38,70.13,69.06,74.42,2.38,6.33,NORMAL
74.31,76.23,66.82,83.17,3.68,12.49,NORMAL
70.02,71.65,65.4,77.85,4.69,-1.08,NORMAL
91.23,83.57,81.74,97.23,7.06,-0.62,NORMAL
46.54,66.21,38.69,77.49,8.53,-8.87,UNUSUAL_PATTERN
84.85,85.41,84.3,88.89,4.83,-0.02,NORMAL
69.07,70.68,68.14,76.65,1.7,3.62,NORMAL
65.82,69.55,59.2,72.03,3.51,-6.11,NORMAL
81.57,83.92,76.95,86.13,4.76,-2.96,NORMAL
75.62,73.03,70.3,80.17,1.85,-3.55,NORMAL
111.96,99.23,82.91,119.45,4.79,15.72,UNUSUAL_PATTERN
39.78,71.28,40.78,73.46,10.67,-10.53,UNUSUAL_PATTERN
73.45,70.52,68.0,79.45,2.63,0.16,NORMAL
46.03,62.94,40.26,80.42,11.72,-2.12,UNUSUAL_PATTERN
82.38,85.08,79.32,91.03,4.81,-8.04,NORMAL
45.5,74.7,42.42,84.05,10.51,-12.82,UNUSUAL_PATTERN
72.11,73.62,70.62,81.36,5.77,3.46,NORMAL
74.7,67.1,68.8,79.14,1.89,-6.87,NORMAL
78.39,80.34,76.05,89.14,3.76,-7.19,NORMAL
49.16,67.25,44.54,75.71,11.41,-19.73,UNUSUAL_PATTERN
78.16,70.2,74.29,89.55,4.99,5.81,NORMAL
74.28,71.16,71.37,81.66,4.02,5.58,NORMAL
76.95,74.95,70.13,84.4,6.58,-1.31,NORMAL
58.23,83.79,42.85,107.61,18.81,-33.41,UNUSUAL_PATTERN
69.79,74.97,63.93,74.11,5.41,-3.42,NORMAL
80.83,78.38,75.7,87.87,3.18,0.46,NORMAL
69.35,69.28,63.16,76.13,4.91,-3.78,NORMAL
63.76,71.19,59.6,72.6,4.58,-0.39,NORMAL
76.08,76.9,73.0,80.67,5.22,-1.5,NORMAL
114.98,66.61,49.18,112.43,14.42,11.1,UNUSUAL_PATTERN
65.27,72.89,59.96,72.93,5.55,-4.49,NORMAL
44.7,69.57,44.76,73.32,18.48,-10.15,UNUSUAL_PATTERN
71.14,73.39,65.08,79.54,6.22,7.47,NORMAL
96.04,91.5,90.09,100.63,3.49,-3.6,NORMAL
82.84,74.83,75.51,85.63,4.4,4.38,NORMAL
79.24,81.04,72.25,84.48,1.97,1.19,NORMAL
71.75,75.96,68.35,80.44,5.97,2.85,NORMAL
73.31,72.64,67.48,81.25,3.41,-2.29,NORMAL
106.6,104.26,80.89,117.1,13.81,15.84,UNUSUAL_PATTERN
79.25,77.05,72.94,87.46,2.18,3.79,NORMAL
69.7,74.27,61.52,83.2,2.39,-4.08,NORMAL
77.2,79.11,72.56,84.45,4.22,6.07,NORMAL
80.21,78.32,74.43,88.11,3.42,6.34,NORMAL
78.94,79.24,74.55,90.04,4.8,-1.79,NORMAL
70.06,64.59,62.28,76.35,2.39,2.79,NORMAL
54.08,77.47,44.35,117.22,8.87,-26.64,UNUSUAL_PATTERN
54.11,87.12,45.05,119.38,22.64,-16.92,UNUSUAL_PATTERN
81.76,85.63,74.55,90.12,1,1.12,NORMAL
80.44,69.16,71.93,86.09,1.31,-2.69,NORMAL
107.16,102.31,74.43,115.34,14.72,7.49,UNUSUAL_PATTERN
91.93,85.44,88.69,98.9,4.09,-0.34,NORMAL
89.1,85.31,87.88,100.67,4.75,3.04,NORMAL
63.67,64.98,55,72.0,1.87,3.16,NORMAL
67.08,74.67,62.56,75.36,6.38,2.66,NORMAL
73.66,75.87,70.18,81.18,5.11,0.05,NORMAL
72.55,65.6,64.18,79.8,2.92,-7.48,NORMAL
48.93,71.82,47.98,117.43,19.62,25.36,UNUSUAL_PATTERN
69.67,71.47,65.08,76.52,8.93,3.79,NORMAL
89.72,85.79,83.39,95.31,2.87,-2.11,NORMAL
79.97,79.81,68.96,86.66,2.07,0.44,NORMAL
74.68,79.35,64.65,80.28,5.62,-9.34,NORMAL
83.27,82.56,76.83,91.22,5.82,1.61,NORMAL
49.96,54.44,46.72,74.66,6.67,-24.44,UNUSUAL_PATTERN
85.29,83.18,79.18,93.37,5.57,-2.27,NORMAL
78.44,81.95,72.07,89.42,5.68,8.42,NORMAL
103.29,106.43,79.13,120.21,13.07,4.81,UNUSUAL_PATTERN
80.22,80.36,71.65,90.53,6.09,-2.24,NORMAL
63.98,68.1,56.24,72.34,3.97,2.06,NORMAL
83.43,80.53,75.09,93.37,6.38,0.5,NORMAL
95.95,93.64,88.88,105,6.1,-6.23,NORMAL
75.67,75.01,65.34,80.59,2.86,-3.17,NORMAL
76.94,81.53,71.9,82.94,4.09,1.35,NORMAL
73.48,74.3,66.12,79.05,3.26,1.22,NORMAL
77.94,81.37,70.5,87.46,2.66,7.87,NORMAL
80.17,80.37,71.23,84.89,4.41,4.42,NORMAL
80.79,77.77,79.84,93.57,7.41,-0.11,NORMAL
83.63,74.35,73.87,92.05,2.88,10.68,NORMAL
76.39,80.24,70.29,83.51,4.91,-4.25,NORMAL
67.75,63.83,61.11,77.94,4.61,1.92,NORMAL
74.0,76.89,67.06,81.51,2.64,-2.95,NORMAL
86.59,80.63,81.79,89.18,3.13,-1.34,NORMAL
72.64,77.22,66.79,78.81,4.5,-3.36,NORMAL
52.31,71.19,42.13,78.8,9.85,-17.91,UNUSUAL_PATTERN
79.8,79.91,74.76,83.67,4.88,-2.92,NORMAL
112.44,86.77,54.53,116.47,9.08,-34.13,UNUSUAL_PATTERN
76.78,71.1,68.25,83.25,4.11,0.72,NORMAL
79.77,74.46,71.93,87.83,5.13,-9.38,NORMAL
78.65,72.05,74.48,85.31,6.85,-2.92,NORMAL
68.15,72.08,61.35,76.45,4.52,-0.64,NORMAL
85.9,85.75,81.11,96.65,6.16,-2.78,NORMAL
74.25,76.7,70.68,76.41,6.21,5.64,NORMAL
74.14,79.15,70.09,87.61,4.9,3.6,NORMAL
83.9,80.13,81.27,92.68,2.39,3.5,NORMAL
73.75,77.45,68.58,83.04,5.8,-4.89,NORMAL
91.43,89.27,85.34,99.27,5.23,1.81,NORMAL
83.94,87.92,76.74,93.69,3.97,10.72,NORMAL
121.79,99.68,80.15,120.55,16.5,12.9,UNUSUAL_PATTERN
54.47,89.89,38.02,118.97,16.2,14.94,UNUSUAL_PATTERN
88.99,84.84,80.1,95.17,3.81,4.45,NORMAL
82.0,80.15,74.59,90.54,2.97,1.83,NORMAL
88.46,85.49,80.63,92.56,2.03,-2.47,NORMAL
71.23,76.08,68.52,77.21,2.73,0.67,NORMAL
84.8,79.49,81.26,94.02,5.4,0.28,NORMAL
117.55,91.22,76.21,127.11,12.22,16.01,UNUSUAL_PATTERN
67.0,68.94,63.11,76.99,1.17,-0.81,NORMAL
73.24,78.68,63.49,79.99,5.43,-1.67,NORMAL
83.33,80.99,78.88,89.04,4.36,-1.52,NORMAL
57.41,65.01,38.84,75.09,9.8,-12.54,UNUSUAL_PATTERN
73.98,74.67,73.69,85.7,5.72,6.29,NORMAL
74.04,75.54,65.75,77.95,3.67,3.62,NORMAL
67.72,68.71,61.89,74.49,3.88,-12.1,NORMAL
80.62,75.31,73.75,85.1,3.22,2.03,NORMAL
59.33,60.83,45.98,69.11,11.9,-7.93,UNUSUAL_PATTERN
112.86,99.32,82.69,119.46,9.47,12.82,UNUSUAL_PATTERN
69.16,65.92,63.54,73.53,3.58,0.26,NORMAL
77.22,77.03,69.58,84.97,2.51,2.54,NORMAL
80.52,81.65,73.53,89.94,1.91,3.96,NORMAL
113.72,74.56,44.76,113.94,18.17,-4.16,UNUSUAL_PATTERN
80.89,82.04,72.69,90.63,3.29,5.56,NORMAL
77.47,76.23,73.03,86.49,3.04,4.8,NORMAL
75.58,81.33,71.08,81.93,1.73,0.3,NORMAL
68.54,78.04,64.37,74.63,4.41,0.97,NORMAL
78.86,78.17,76.07,89.52,1.69,-2.22,NORMAL
75.63,77.65,70.46,79.66,3.79,1.57,NORMAL
52.67,66.43,38.3,82.75,9.99,-3.74,UNUSUAL_PATTERN
78.04,78.94,74.32,85.99,5.03,7.02,NORMAL
84.0,86.86,75.78,90.37,4.33,4.09,NORMAL
53.17,60.96,42.74,82.6,12.74,-17.16,UNUSUAL_PATTERN
79.08,75.75,75.13,84.42,4.56,8.45,NORMAL
62.28,65.26,59.65,67.06,3.21,-5.07,NORMAL
85.87,84.57,80.66,94.05,5.28,8.27,NORMAL
76.05,78.69,68.33,84.61,3.02,-5.93,NORMAL
68.36,63.48,64.01,73.23,5.09,-2.39,NORMAL
92.24,84.21,85.52,99.31,4.79,1.66,NORMAL
41.3,89.47,49.02,118.14,16.33,-17.25,UNUSUAL_PATTERN
119.61,91.67,81.91,126.69,8.76,1.23,UNUSUAL_PATTERN
47.29,88.6,49.22,119.7,21.73,-3.45,UNUSUAL_PATTERN
52.81,76.85,45.52,118.69,19.14,5.78,UNUSUAL_PATTERN
60.7,70.78,48.04,87.51,12.72,-23.51,UNUSUAL_PATTERN
75.52,77.41,70.63,86.99,2.87,2.22,NORMAL
36.73,67.94,43.03,79.55,10.88,-12.55,UNUSUAL_PATTERN
71.05,74.64,68.18,79.96,3.64,-2.87,NORMAL
47.49,68.26,41.39,86.61,9.36,-16.67,UNUSUAL_PATTERN
73.56,70.08,71.37,82.33,5.37,5.44,NORMAL
60,66.54,55.65,66.29,2.18,0.06,NORMAL
125.27,77.03,47.05,121.63,12.25,-23.9,UNUSUAL_PATTERN
60.13,73.71,47.62,111.37,20.56,-9.66,UNUSUAL_PATTERN
87.6,87.68,81.04,97.61,1.86,7.95,NORMAL
78.04,73.55,73.84,80.62,2.74,-3.39,NORMAL
87.33,80.86,78.86,90.77,3.03,0.17,NORMAL
121.79,79.29,45.91,115.0,18.4,-11.62,UNUSUAL_PATTERN
82.71,83.62,75.45,88.72,1.85,0.23,NORMAL
73.27,83.19,65.28,79.01,5.02,1.66,NORMAL
71.29,75.43,61.31,74.25,3.24,2.88,NORMAL
79.62,87.07,72.59,87.22,3.35,-0.93,NORMAL
87.81,84.42,81.06,96.08,6.21,-1.86,NORMAL
74.91,79.1,68.44,82.38,4.5,12.42,NORMAL
85.66,79.48,77.66,95.85,3.76,3.59,NORMAL
85.2,83.12,76.29,97.81,4.18,-3.46,NORMAL
49.27,71.13,47.61,115.72,18.17,-34.03,UNUSUAL_PATTERN
87.82,81.92,78.59,90.11,5.29,6.11,NORMAL
48.08,74.2,44.0,111.57,20.72,-23.14,UNUSUAL_PATTERN
93.3,87.67,86.47,97.09,2.0,-2.39,NORMAL
40.4,53.48,44.26,90.15,10.89,-16.32,UNUSUAL_PATTERN
79.37,75.24,70.65,80.71,6.42,2.7,NORMAL
70.75,71.55,64.29,74.12,2.18,-2.22,NORMAL
84.39,77.72,77.05,92.08,3.66,9.98,NORMAL
78.27,78.97,74.68,89.79,4.07,-2.34,NORMAL
64.68,69.92,59.48,68.9,4.81,-1.63,NORMAL
73.68,75.12,68.34,82.15,1.76,-2.87,NORMAL
83.15,86.94,76.01,89.39,3.32,3.26,NORMAL
73.4,71.55,68.85,80.15,1.7,3.17,NORMAL
89.33,85.34,84.15,96.49,5.62,-0.2,NORMAL
108.74,99.01,76.98,122.49,10.25,20.11,UNUSUAL_PATTERN
77.13,82.84,70.92,84.61,5.93,3.64,NORMAL
87.51,83.48,80.27,96.92,4.72,3.31,NORMAL
71.4,71.3,66.63,82.39,3.86,6.04,NORMAL
91.31,85.89,79.73,94.33,3.0,4.52,NORMAL
87.53,87.18,79.13,97.88,4.19,0.78,NORMAL
75.33,83.75,66.98,78.66,1.9,-8.25,NORMAL
102.99,87.97,87.97,122.63,7.38,18.6,UNUSUAL_PATTERN
72.92,78.39,67.18,78.12,5.36,1.52,NORMAL
69.17,72.03,60.16,81.53,4.7,0.18,NORMAL
97.9,84.54,90.9,100.79,4.98,-1.56,NORMAL
84.31,78.21,73.63,93.92,2.41,2.75,NORMAL
77.63,70.01,71.7,84.31,5.61,12.74,NORMAL
80.36,81.5,74.3,87.87,3.5,-4.18,NORMAL
77.58,71.09,77.04,83.63,2.47,1.31,NORMAL
91.93,95.47,83.58,98.43,4.74,-1.95,NORMAL
113.85,76.11,50.21,113.67,14.65,17.77,UNUSUAL_PATTERN
87.31,78.11,84.05,92.09,3.88,-2.2,NORMAL
100,97.88,96.03,105,3.29,-1.11,NORMAL
86.07,91.01,78.69,94.01,2.25,2.33,NORMAL
73.52,81.23,67.19,84.97,4.37,1.2,NORMAL
41.86,65.53,40.16,77.81,8.09,-15.92,UNUSUAL_PATTERN
78.17,74.78,69.31,84.96,3.25,2.21,NORMAL
77.77,75.79,66.71,85.0,2.44,1.26,NORMAL
79.21,76.62,71.28,87.07,3.13,6.01,NORMAL
82.33,83.9,73.42,87.76,4.82,1.21,NORMAL
84.23,84.56,77.82,88.61,4.38,-1.1,NORMAL
80.39,82.53,74.42,87.93,4.61,2.72,NORMAL
83.85,79.4,76.81,94.09,5.42,-4.36,NORMAL
64.68,76.18,59.5,71.08,5.12,-7.6,NORMAL
83.15,80.95,82.12,88.98,1.83,-6.97,NORMAL
79.23,72.6,74.74,84.18,3.41,-3.28,NORMAL
76.87,76.17,72.45,82.26,1.98,0.19,NORMAL
77.04,76.87,68.17,82.58,4.51,-0.11,NORMAL
73.02,76.99,65.81,80.83,5.6,5.33,NORMAL
76.53,80.87,73.76,82.73,1.93,-1.98,NORMAL
78.87,72.4,73.06,89.8,4.22,-6.89,NORMAL
68.46,80.73,64.4,76.05,1,-1.39,NORMAL
86.23,85.94,82.65,89.66,1.06,9.18,NORMAL
76.17,78.13,68.85,83.41,5.65,1.74,NORMAL
94.6,84.89,89.54,102.66,5.08,5.88,NORMAL
110.84,87.6,76.1,117.87,13.32,10.8,UNUSUAL_PATTERN
50.32,60.86,43.18,80.37,10.88,-16.2,UNUSUAL_PATTERN
71.79,66.59,62.79,79.98,1.16,4.81,NORMAL
50.85,81.28,47.82,115.31,19.68,1.49,UNUSUAL_PATTERN
71.12,67.97,65.18,76.79,3.63,5.26,NORMAL
67.38,67.3,66.03,73.92,5.32,-8.39,NORMAL
76.85,79.34,73.92,80.7,4.57,2.03,NORMAL
58.91,63.24,43.48,76.05,12.2,-5.01,UNUSUAL_PATTERN
91.52,90.64,86.87,99.66,3.58,-1.54,NORMAL
85.86,85.82,82.66,90.8,4.93,-3.71,NORMAL
65.03,69.93,55,70.59,3.49,-0.49,NORMAL
72.25,77.12,68.09,77.97,1.7,8.09,NORMAL
91.12,82.43,81.11,101.12,3.66,2.85,NORMAL
74.3,78.08,70.63,84.36,3.92,5.36,NORMAL
71.8,63.14,66.7,80.55,3.81,5.6,NORMAL
81.4,82.8,68.94,88.66,4.44,2.42,NORMAL
60.68,61.28,55,65.73,4.35,-2.0,NORMAL
105.08,87.19,43.19,114.02,20.94,24.78,UNUSUAL_PATTERN
106.06,101.97,78.57,124.53,16.6,13.34,UNUSUAL_PATTERN
90.59,91.06,85.14,96.67,3.72,-0.72,NORMAL
73.78,70.57,68.86,78.3,3.19,-3.84,NORMAL
69.11,68.03,65.36,76.53,2.59,-1.12,NORMAL
129.58,85.11,51.28,110.43,13.08,-11.1,UNUSUAL_PATTERN
87.9,86.86,78.5,94.38,7.27,-6.31,NORMAL
76.72,79.87,70.46,87.31,6.68,-4.79,NORMAL
77.76,76.47,73.46,86.93,6.46,-5.54,NORMAL
110.46,82.83,41.84,121.1,13.3,8.08,UNUSUAL_PATTERN
76.31,73.28,71.89,80.71,3.29,5.58,NORMAL
80.82,76.08,72.11,90.11,3.89,-2.46,NORMAL
81.79,81.7,79.45,89.05,2.69,-3.39,NORMAL
49.45,69.99,41.07,81.11,13.08,-5.4,UNUSUAL_PATTERN
78.66,75.66,72.11,84.71,2.05,-5.98,NORMAL
70.71,67.01,66.49,76.09,5.56,1.18,NORMAL
72.97,76.63,70.0,81.95,4.52,-3.46,NORMAL
60,63.98,55,73.22,3.66,-3.75,NORMAL
78.23,76.72,72.14,82.79,2.27,-0.76,NORMAL
117.65,101.02,87.98,119.15,3.02,21.62,UNUSUAL_PATTERN
86.27,84.47,77.51,96.41,5.09,0.17,NORMAL
60,62.58,55,69.15,2.73,2.88,NORMAL
78.47,83.25,69.56,85.76,4.6,-2.27,NORMAL
77.41,80.1,73.96,88.69,1.63,-2.07,NORMAL
